"Character","Creator","Alignment","Alter_Egos","Eye_color","Hair_color","Species","IQ","Intelligence","Strength","Combat","Durability"
"Anti-Monitor (Death Metal)","DC Comics","Bad","None","Yellow","No Hair","Cosmic Entity",200,100,100,100,100
"Anti-Monitor (Reversion)","DC Comics","Bad","Anti-Monitor,Anti-Monitor,Anti-Monitor,Black Lantern,Yellow Lantern","Yellow","No Hair","God / Eternal",200,100,100,80,100
"Anti-Monitor (Sixth Dimension)","DC Comics","Bad","Anti-Monitor,Anti-Monitor,Anti-Monitor,Black Lantern,Yellow Lantern",NA,NA,"None",200,100,100,80,100
"Anti-Pope","None","None","None","None","None","None",110,55,1,15,10
"Anti-Spiral","Kadokawa","Bad","None",NA,NA,"None",200,100,100,100,100
"Anti-Venom","Marvel Comics","None","Captain Universe,Child Of Venom,King in Black,Magic Venom,Toxin,Venom","Blue","Blond","Symbiote",140,70,50,75,35
"Anti-Venom (Klyntar Symbiote)","Marvel Comics","Neutral","Anti-Venom II","Orange","No Hair","Alien",100,50,30,70,60
"Anti-Venom II (Klyntar Symbiote)","Marvel Comics","Neutral","Anti-Venom","Black","No Hair","Alien",100,50,30,70,60
"Anti-Vision","Marvel Comics","Bad","Vision,Vision,Vision II","None","None","Android",190,95,100,90,100
"Anti Null","Microsoft","Neutral","None","Black","No Hair","Deity",180,90,100,40,100
"Antlar","None","Bad","None",NA,"No Hair","Kaiju",100,50,75,40,40
"Anton (Cosmoball)","None","Good","None",NA,NA,"None",110,55,30,45,35
"Antonin Dolohov","J. K. Rowling","Bad","None","Black","Black","Human",120,60,1,55,10
"Antu","None","None","None","None","None","None",200,100,100,100,100
"Ao","None","None","None","None","None","None",200,100,100,100,100
"Aoi Todo","Shueisha","Good","None","Black","Black","Human",120,60,25,75,30
"Aokiji","Shueisha","Bad","None","Black","Black","Human",170,85,100,80,45
"Ap'lek","George Lucas","Bad","None",NA,NA,"None",110,55,13,65,10
"Apex Predator","DC Comics","Bad","None",NA,NA,"Cosmic Entity",200,100,100,100,100
"Aphelios","Riot Games","Neutral","None",NA,"Black","Human",130,65,1,80,10
"Aphoom-Zhah","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Aphrodite","Rick Riordan","Good","None","Blue","Blond","None",190,95,100,85,70
"Apocalymon","Shueisha","Bad","None","Red",NA,"Cosmic Entity",90,45,100,100,100
"Apocalypse","Marvel Comics","Bad","None","Red","No Hair","Human",184,90,100,60,65
"Apollo","Marvel Comics","Good","None","Blue","Blond","None",180,90,75,80,75
"Apollo Creed","None","Good","None","Brown","Black","Human",110,55,5,80,10
"Apollonir","Sega","Good","None","Blue","No Hair","None",200,100,100,80,80
"Aporia","Shueisha","None","None","None","None","None",160,80,25,70,20
"Apostate","None","Bad","None","Green","Black","Demi-God",140,70,75,80,55
"Appa","Dark Horse Comics","Good","None","Brown","White","Animal",80,40,25,25,10
"April O'Neil","Nickelodeon","Good","None","None","None","Human",120,60,1,75,10
"Aqua","Shueisha","Good","None","Pink",NA,"None",150,75,1,70,20
"Aquaboy","DC Comics","None","None","None","None","None",170,85,25,15,15
"Aquagirl I","DC Comics","Good","None","Blue","Brown","Atlantean",130,65,25,45,20
"Aqualad","DC Comics","Good","None","Green","Blond","Atlantean",130,65,25,55,20
"Aqualad II","DC Comics","Good","None","Blue","Blond","Atlantean",120,60,30,50,30
"Aquaman","DC Comics","Good","None","Black","Blond","Atlantean",110,55,100,80,30
"Aquaman (Waterwraith)","DC Comics","None","Aquaman,Black Lantern,Old Man Aquaman,White Lantern","None","None","Atlantean",150,75,100,90,90
"Aquarius Camus","Toei Animation","Good","None","Green / Blue","Blue","None",120,60,100,80,95
"Arachne","None","Neutral","None","Yellow","Brown","Cyborg",130,65,25,85,30
"Arachne Gorgon","Square Enix","Bad","None","Black","Black","None",130,65,20,60,35
"Aragog","J. K. Rowling","Neutral","None",NA,"Brown","Animal",120,60,50,5,20
"Aragorn","J. R. R. Tolkien","Good","None","Grey","Brown","Human",130,65,10,70,15
"Araji","None","Good","None","Orange","No Hair","None",130,65,90,70,60
"Arak","Shueisha","None","None","None","None","None",130,65,100,100,100
"Arakko","Marvel Comics","Neutral","None","Pink","None","None",160,80,100,10,55
"Araquel","DC Comics","Good","None","Blue / White","Blond","God / Eternal",200,100,100,100,100
"Arbok","Nintendo","Neutral","None","Black","No Hair","Pok�mon",90,45,25,25,25
"Arbormon","Shueisha","Bad","Petaldramon",NA,NA,"None",100,50,50,50,45
"Arc","Square Enix","Good","None","Brown","Brown","Human",90,45,100,50,45
"Arcades Sabboth","Hasbro","Good","None",NA,NA,"Dragon",180,90,60,60,70
"Arcadia","Nickelodeon","Good","None","Gold","No Hair","Spirit",145,75,50,65,65
"Arcanon","Sega","None","None","None","None","None",160,80,25,70,30
"Arceus","Nintendo","Good","None","Green","None","None",200,100,100,95,100
"Arch-Druidess","Matt Groening","None","None","None","None","None",110,55,1,20,5
"Arch Belial","None","Bad","Belyudra,Chimeraberus,Ultraman Belial,Ultraman Belial,Ultraman Belial","Orange","No Hair","Kaiju",180,90,95,100,85
"Arch Illager","Microsoft","Bad","None","Green","No Hair","Human",87,45,1,1,30
"Archangel","Marvel Comics","Neutral","Angel",NA,"Blond","Human",110,55,6,60,25
"Archelus (EDF5)","None","Bad","None",NA,NA,"Kaiju",90,45,75,30,30
"Archer","Type-Moon","None","None","None","None","None",200,100,100,100,100
"Archie Andrews","None","None","None","None","None","None",140,70,10,55,5
"Ardeth Bay","None","Good","None","Brown","Black","Human",120,60,5,60,10
"Ardina","Marvel Comics","Good","None","White","Orange","Alien",120,60,100,30,100
"Ares","Sega","None","None","None","None","None",200,100,100,100,100
"Ares (Godwave Energy)","DC Comics","None","Ares,Ares",NA,NA,"None",200,100,100,100,100
"Ares (True Form)","DC Comics","Bad","Ares,Ares",NA,NA,"Cosmic",200,100,100,100,100
"Aresia","DC Comics","Bad","None","Blue","Blond","Amazon",130,65,30,95,25
"Argent Adept","None","Good","None","Hazel","Red","Human",140,70,1,35,30
"Argit","Cartoon Network","Neutral","None","Black","Black","None",130,65,10,50,15
"Argus","None","None","None","None","None","None",120,60,55,90,60
"Arien","J. R. R. Tolkien","None","None","None","None","None",200,100,100,50,100
"Aries Mu (Starlight Extinction)","Shueisha",NA,"None",NA,NA,"Demi-God",200,100,100,100,100
"Aries Shion","Toei Animation","Neutral","None","Pink","Green","None",150,75,100,85,95
"Arikel","None","None","None","None","None","None",200,100,100,100,100
"Arion","DC Comics","Bad","None","Green","Brown","Demi-God",200,100,100,70,100
"Arishem The Judge","Marvel Comics","Neutral","None","Gold","No Hair","Celestials",200,100,100,65,75
"Arishem The Judge (Knullified)","Marvel Comics","Bad","Arishem The Judge",NA,"No Hair","Celestials",200,100,100,65,100
"Aristotele Skotos","Bonelli","Bad","None",NA,NA,"Human",200,100,25,90,10
"Arkay","None","None","None","None","None","None",200,100,100,100,100
"Arkea","Marvel Comics","Bad","None","None","Green","None",185,95,25,30,60
"Arkillo","DC Comics","Bad","None","Black","No Hair","Cosmic Entity",110,55,100,60,100
"Arkon","Marvel Comics","Bad","None","None","None","None",110,55,25,60,40
"Arlinn Kord (Post-Mending)","Hasbro","Good","None",NA,"Red","Human",120,60,25,60,25
"Armadillo","Marvel Comics","Bad","None","Brown","No Hair","Human",90,45,35,45,55
"Armageddon","Marvel Comics","Good","None","White","Gold","Human",110,55,100,40,70
"Armin Arlert","Kodansha","Good","None","Blue","Blond","Human",140,70,1,60,10
"Armodrillo","Cartoon Network","Good","None","Green","None","Alien",100,50,90,70,95
"Armored Darkness","None","Bad","None","Red","No Hair","Robot",100,50,80,90,80
"Armored Titan","Kodansha","Bad","None","Orange","White","None",140,70,55,80,35
"Arnim Zola","Marvel Comics","Bad","None","None","None","Cyborg",180,90,25,25,20
"Arnim Zola (What If..?)","Marvel Comics","Bad","None",NA,NA,"Android",170,85,13,35,15
"Arno Dorian","Ubisoft","Good","None","Blue","Brown","Human",120,60,1,70,10
"Aro","None","Bad","None","Red","Black","Vampire",170,85,35,70,30
"Arsenal","DC Comics","Good","Black Lantern,Red Arrow","Green","Red","Human",172,85,1,85,8
"Arstron","None",NA,"None","Yellow","No Hair","Kaiju",90,45,75,40,35
"Artemis","DC Comics","Good","None","Green","Red","Amazon",145,75,50,100,50
"Artemis Entreri (Forgotten Realms)","None","Bad","None","Grey","Black","Human",160,80,1,100,60
"Arthur Curry, Jr.","DC Comics","None","None","None","None","None",28,14,1,50,60
"Arthur Morgan","Rockstar Games","None","None","None","None","None",140,70,5,70,10
"Articuno","Nintendo","Neutral","None","Red","No Hair","None",170,85,80,80,55
"Artume","Marvel Comics","Bad","None","Blue","Blond","Amazon",140,70,60,90,80
"Aruru","None","None","None","None","None","None",200,100,100,100,100
"Arvin Sloane","ABC Studios","Bad","None","Hazel","Grey","Human",130,65,1,40,100
"Arwen","J. R. R. Tolkien","Good","None","None","None","None",150,75,9,60,20
"Arya Shadeslayer","None","Good","None","Green","Black","Elf",185,95,25,100,80
"Arya Stark","George R. R. Martin","Good","None",NA,NA,"Human",120,60,1,60,8
"Asajj Ventress","George Lucas","Bad","None","Grey","No Hair","Alien",120,60,5,75,20
"Asaka Narumi","Shueisha","Good","None","Blue","Blue","Human",150,75,1,80,10
"Asami Sato","Dark Horse Comics","None","None","None","None","None",140,70,1,75,7
"Asav","Naughty Dog","Bad","None",NA,NA,"Human",40,20,25,12,12
"Ash","None","Bad","None","Blue","No Hair","Android",170,85,1,70,40
"Ash-Greninja","Nintendo","Good","Greninja","Red","No Hair","Pok�mon",110,55,25,100,40
"Ashe","Riot Games","Good","None",NA,"White","Human",140,70,1,65,10
"Ashema The Listener","Marvel Comics","Good","None","White","No Hair","Celestials",200,100,100,60,100
"Ashi","Cartoon Network","Good","None","None","None","None",110,55,100,100,35
"Ashiok (Post-Mending)","Hasbro","Bad","None","No eyes","No Hair","None",140,70,1,30,20
"Ashley","Nintendo","Good","None","Red","Black","Human",90,45,1,15,10
"Ashrah","Mortal Kombat","None","None","None","None","None",120,60,25,80,20
"Ashur","None","None","None","None","None","None",200,100,100,100,100
"Asia","None","Good","None",NA,NA,"Human",115,60,1,10,6
"Askin Nakk Le Vaar","Shueisha","Bad","None",NA,NA,"Spirit",140,70,75,100,55
"Aslan","Disney","Good","None","Brown","Brown","God / Eternal",200,100,100,100,100
"Asmodel","DC Comics","None","None","None","None","None",200,100,100,100,100
"Asmodeus","None","Good","None","Green","Black / Blue","Demon",120,60,25,30,40
"Aspirant","Marvel Comics","Bad","None","None","No Hair","Celestials",200,100,100,40,90
"Asriel Dreemurr","None","Bad","None","White","White","Animal",180,90,100,100,100
"Asta","Shueisha","Good","Asta","Green","Blond","Human",100,50,25,60,50
"Asta (Devil Union)","Shueisha","Good","Asta","Green","White","Human",100,50,55,80,60
"Astaroth","None","Neutral","None",NA,NA,"Demon",100,50,55,70,50
"Asterix","Dargaud","Good","None","Black","Blond","Human",130,65,30,55,20
"Astra","DC Comics",NA,"None","Hazel","Brown / White","Kryptonian",120,60,100,75,90
"Astral","Shueisha","Good","None","Yellow","None","Cosmic Entity",160,80,55,80,80
"Astrid","None","Good","None","Blue","Green","Human",140,70,20,65,25
"Astro Boy","Cartoon Network","Good","None","Brown","Black","None",170,85,100,50,50
"Astrodactyl","Cartoon Network","Good","None","Green","None","Alien",100,50,25,50,55
"Astronomer","Marvel Comics","Neutral","None","White","Brown","Alien",190,95,1,50,20
"Asuma Sarutobi","Shueisha","None","None","None","None","None",130,65,25,90,30
"Asura","Capcom","Good","None","White","White","Demi-God",100,50,100,100,100
"Asuryan","Warhammer 40K","None","None","None","None","None",200,100,100,100,100
"Athena","Toei Animation","Good","None",NA,NA,"None",196,100,100,100,100
"Atheon, Time's Conflux","None","None","None","None","None","None",200,100,100,100,100
"Atlach Nacha","None","None","None","None","None","None",200,100,100,100,100
"Atlanna","DC Comics","Good","None","Blue","Blond","Atlantean",160,80,30,90,50
"Atlantiades","DC Comics","Neutral","None","Grey","Black","Olympian",190,95,100,80,70
"Atlas","DC Comics","Bad","None","Blue","Brown","God / Eternal",120,60,100,75,100
"Atleza","Marvel Comics","None","None","None","None","None",200,100,100,20,100
"Atli","Marvel Comics","Good","None","Brown","Red","Asgardian",140,70,100,85,70
"Atom","DC Comics","Good","None","Brown","Brown","Human",165,85,25,40,30
"Atom Eve","Skybound","Good","None",NA,"Orange","None",145,75,1,30,50
"Atom Smasher","DC Comics","Good","None","Blue","Auburn","Human",120,60,75,45,55
"Atomic Samurai","Shueisha","Good","None","Black","Black","None",140,70,25,100,25
"Atomic Skull","DC Comics","None","None","None","None","None",120,60,75,70,35
"Atomic X","Cartoon Network","Good","None","Green","No Hair","Alien",200,100,100,95,100
"Atomix","Cartoon Network","Good","None","None","None","None",150,75,100,90,100
"Atraxa, Praetors' Voice","Hasbro","Bad","None",NA,NA,"None",140,70,35,80,30
"Atreus","Wildstorm","Good","None","Blue","Brown","God / Eternal",160,80,5,60,20
"Atrocitus","DC Comics","Bad","None","Yellow","No Hair","Alien",180,90,100,70,100
"Atsushi Nakajima","Kadokawa","Good","None","Purple","Grey","Human",100,50,8,80,25
"Attack Titan","Kodansha","Good","None","Green","Brown","None",130,65,55,75,35
"Atum (The Slayer of Gods)","Marvel Comics","Good","Demogorge","White / Red","No Hair","Cosmic Entity",200,100,100,100,100
"Audrey Horne","None","None","None","None","None","None",200,100,100,100,100
"Augus","Capcom","Bad","None","White","White","Demi-God",110,55,100,100,55
"Augusto Gaez","Warner Brothers","Bad","None","Brown","Black","Human",110,55,1,60,10
"Augustus Giovanni","None","None","None","None","None","None",200,100,100,100,100
"Augustus Rookwood","J. K. Rowling","Bad","None",NA,NA,"None",120,60,1,45,10
"Aulë","J. R. R. Tolkien","None","None","None","None","None",200,100,100,100,100
"Aule The Toolsmith (True Form)","J. R. R. Tolkien","Good","None",NA,NA,"God / Eternal",200,100,100,60,100
"Aunt Hilda (Netflix)","None","None","None","None","None","None",110,55,1,5,50
"Aunt Zelda (Netflix)","None","None","None","None","None","None",120,60,1,20,10
"Aura Michibane","Shueisha",NA,"None","Black","Black","Spirit",130,65,75,90,50
"Aurelion Sol","Riot Games","Neutral","None","Blue",NA,"Deity",150,75,100,65,80
"Aurora","Marvel Comics","Good","None","Blue","Black","Mutant",130,65,10,60,30
"Aurora De Martel","Team Epic TV","Bad","None","Green","Red","Human",120,60,25,40,20
"Ausar","None","None","None","None","None","None",110,55,30,60,20
"Auset","None","None","None","None","None","None",100,50,1,20,10
"Ava Sharpe","DC Comics","Good","None",NA,NA,"None",140,70,6,85,10
"Avacyn","Hasbro","Good","None","White","White","Deity",160,80,50,70,55
"Avalon","None","Good","None","Green","Green","None",140,70,85,65,55
"Avar Kriss","George Lucas","Good","None","Brown","Blond","Human",180,90,25,90,40
"Avatar Korra","Dark Horse Comics","Good","None","Green / Blue","Brown","Human",90,45,25,90,30
"Avatar Of Evil","SNK","Bad","None","Red","Black / Blue","Demon",138,70,100,6,75
"Avatar Of The White","DC Comics","Good","None","White","White","Human",130,65,100,65,60
"Avatar Roku","Dark Horse Comics","Good","None","Amber","Grey","Human",130,65,25,85,35
"Avenger","Type-Moon","None","None","None","None","None",200,100,100,100,100
"Avenger X","Marvel Comics","Good","None","Blue","Black","None",120,60,1,50,10
"Aviendha","None","Good","None","Green / Blue","Red","Human",140,70,1,100,60
"Aviva","None","Good","None","Green","Black","Human",130,65,1,15,30
"Avos Dilhevia","Square Enix","Good","None","Blue","White","Demon",170,85,75,75,100
"Axel","None","Good","None",NA,NA,"Animal",50,25,1,30,10
"Axel Stone","Sega","Good","None","Blue","Blond","Human",90,45,1,35,10
"Aya Shameimaru","None","Good","None","Hazel","Black","None",100,50,30,80,90
"Ayame","Activision Blizzard","Good","None","Brown","Black","Human",140,70,8,90,15
"Ayanami","Kodansha","Bad","None","Violet","Silver","God / Eternal",200,100,1,100,50
"Ayato Kirishima","Shueisha","Neutral","None","Blue","Blue","None",130,65,25,60,20
"Ayi'ig","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Aylith","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Ayo","Marvel Comics","Good","None",NA,NA,"Human",130,65,6,85,10
"Aza' Gorod The Nightbringer","Warhammer 40K","None","None","None","None","None",200,100,100,90,100
"Azaneal","None","None","None","None","None","None",200,100,100,100,100
"Azashiro Kenpachi","None","Neutral","None","Black","Black","Spirit",150,75,30,90,35
"Azathoth","None","None","None","None","None","None",200,100,100,100,100
"Azathoth (Demonbane)","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Azazel","Namco","Bad","None",NA,NA,"God / Eternal",100,50,55,50,45
"Azelf","Nintendo","Neutral","None","Yellow","No Hair","Pok�mon",190,95,1,20,35
"Azir","Riot Games","Bad","None","Yellow","No Hair","Demi-God",145,75,75,50,45
"Aziraphale","None","Good","None","Brown","White","God / Eternal",190,95,30,70,55
"Azmuth","Cartoon Network","Neutral","None","Green","No Hair","None",200,100,5,65,5
"Azrael","DC Comics","None","None","None","None","None",160,80,25,70,13
"Azulongmon","Shueisha","Good","None",NA,NA,"Deity",160,80,100,90,100
"Azura","None","None","None","None","None","None",200,100,100,100,100
"Azzhora-Tha","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"B.O.B.","Dreamworks","Good","None",NA,NA,"Mutant",10,5,25,10,50
"Baal","None","None","None","None","None","None",200,100,100,100,100
"Baal (Lord Of Destruction)","Activision Blizzard","Bad","None","Amber","No Hair","Demon",190,95,100,95,55
